Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Update me on Supply Chain Content,Get updates on DM Content,I agree to pay the amount through cheque,A free copy of Mastering The Interview
0,0,No,No,0,0,0.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,674,2.5,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1532,2.0,3,10,1,3,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,305,1.0,4,10,11,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1428,1.0,0,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1640,2.0,3,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,1,1351,8.0,3,10,17,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,1,1343,2.67,1,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,1,1538,11.0,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,0,170,5.0,3,10,1,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,Yes,No,0,481,1.0,2,21,1,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,1012,6.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,973,6.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1688,3.0,1,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,0,98,3.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,233,1.0,4,10,11,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,377,1.33,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,1013,1.0,0,10,0,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,771,4.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,1,1137,1.5,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,1068,3.0,1,10,17,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,1,1000,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,1315,6.0,3,10,11,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,182,5.0,3,10,4,3,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,1,78,3.0,4,10,9,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1174,3.5,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,No,No,0,88,1.5,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,0,223,2.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,1,16,2.0,1,10,3,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,4,No,No,1,98,3.0,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,1622,4.0,4,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,563,5.0,3,10,4,5,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,0,310,2.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,1,25,4.0,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,2,No,No,0,342,3.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,Yes,No,0,38,7.0,2,10,13,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,No,No,0,199,5.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,275,3.0,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,0,287,2.0,3,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,547,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,No,No,0,1225,6.0,1,10,16,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,1,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,5,No,No,0,160,5.0,3,10,1,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,0,394,2.0,4,10,3,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,0,12,2.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,4,No,No,1,436,13.0,1,10,8,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,4,No,No,1,903,8.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,1,No,No,0,409,8.5,3,10,7,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,4,No,No,0,685,5.5,3,10,15,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,5,No,No,0,213,4.0,1,10,9,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,1,No,No,1,1468,3.5,1,10,10,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,1,1435,4.0,3,10,12,5,0,No,No,No,No,No,No,No,No,No,No,No,1
1,5,No,No,1,157,1.0,0,10,6,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,5,No,No,1,885,1.5,3,10,12,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,1,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
0,0,No,No,0,0,0.0,3,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,2,No,No,0,1710,1.0,0,10,13,4,0,No,No,No,No,No,No,No,No,No,No,No,1
1,2,No,No,0,219,4.0,3,10,1,4,0,No,No,No,No,No,No,No,No,No,No,No,0
1,4,Yes,No,0,111,3.0,2,10,9,4,0,No,No,No,No,No,No,No,No,No,No,No,1
0,1,No,No,0,224,6.0,1,10,4,4,0,No,No,No,No,No,No,No,No,No,No,No,0
